"","method_id","method_name","description"
"1","SK","soil knife","a hoari hoari knife was used to remove a soil block of known dimensions. Dimensions of removed soil were measured before and after removal. "
"2","BDC","bulk density corer","a 5.08cm diameter bulk density soil corer was used either normal or parallel to the face to extract soil sample"
"3","DB","drill bit","a 4.9cm diameter cirular drill bit with a 5cm maximum depth was drilled into the pit face to obtain sample"
