"uid","plotID","startDate","endDate","startTime","endTime","boutNumber","remarks"
1,"CPER_006",20140527,20140508,1250,1209,"1","Completed over 2 days"
2,"CPER_009",20140528,20140528,1310,1507,"1",
3,"CPER_026",20140529,20140529,1024,1350,"1",
